,widths
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,1.0
144,6.0
145,13.0
146,27.0
147,60.0
148,88.0
149,104.0
150,131.0
151,139.0
152,155.0
153,155.0
154,157.0
155,158.0
156,158.0
157,159.0
158,161.0
159,161.0
160,161.0
161,163.0
162,163.0
163,163.0
164,163.0
165,163.0
166,164.0
167,164.0
168,166.0
169,167.0
170,167.0
171,168.0
172,170.0
173,171.0
174,172.0
175,173.0
176,174.0
177,174.0
178,174.0
179,174.0
180,176.0
181,176.0
182,176.0
183,177.0
184,177.0
185,178.0
186,178.0
187,178.0
188,178.0
189,179.0
190,179.0
191,179.0
192,179.0
193,180.0
194,180.0
195,180.0
196,182.0
197,182.0
198,182.0
199,183.0
200,183.0
201,183.0
202,183.0
203,183.0
204,183.0
205,184.0
206,184.0
207,185.0
208,186.0
209,189.0
210,190.0
211,191.0
212,191.0
213,191.0
214,191.0
215,193.0
216,193.0
217,193.0
218,194.0
219,194.0
220,194.0
221,194.0
222,194.0
223,194.0
224,194.0
225,195.0
226,195.0
227,195.0
228,195.0
229,196.0
230,196.0
231,197.0
232,198.0
233,198.0
234,199.0
235,201.0
236,203.0
237,204.0
238,205.0
239,206.0
240,206.0
241,208.0
242,209.0
243,210.0
244,210.0
245,211.0
246,214.0
247,215.0
248,218.0
249,220.0
250,220.0
251,220.0
252,220.0
253,220.0
254,221.0
255,221.0
256,221.0
257,222.0
258,222.0
259,222.0
260,222.0
261,222.0
262,222.0
263,222.0
264,222.0
265,222.0
266,222.0
267,222.0
268,223.0
269,223.0
270,223.0
271,223.0
272,224.0
273,224.0
274,224.0
275,224.0
276,225.0
277,225.0
278,225.0
279,225.0
280,225.0
281,226.0
282,226.0
283,226.0
284,226.0
285,226.0
286,226.0
287,227.0
288,227.0
289,227.0
290,228.0
291,229.0
292,229.0
293,230.0
