,widths
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,1.0
106,2.0
107,4.0
108,6.0
109,14.0
110,16.0
111,18.0
112,20.0
113,20.0
114,21.0
115,22.0
116,25.0
117,35.0
118,39.0
119,46.0
120,56.0
121,58.0
122,61.0
123,64.0
124,65.0
125,69.0
126,71.0
127,74.0
128,75.0
129,75.0
130,77.0
131,77.0
132,78.0
133,84.0
134,86.0
135,87.0
136,88.0
137,92.0
138,93.0
139,95.0
140,96.0
141,97.0
142,98.0
143,99.0
144,102.0
145,103.0
146,106.0
147,107.0
148,108.0
149,111.0
150,112.0
151,113.0
152,115.0
153,116.0
154,119.0
155,121.0
156,123.0
157,125.0
158,127.0
159,129.0
160,132.0
161,134.0
162,136.0
163,143.0
164,155.0
165,156.0
166,158.0
167,160.0
168,161.0
169,161.0
170,164.0
171,166.0
172,166.0
173,166.0
174,168.0
175,168.0
176,169.0
177,170.0
178,170.0
179,170.0
180,170.0
181,170.0
182,171.0
183,171.0
184,173.0
185,173.0
186,173.0
187,173.0
188,174.0
189,174.0
190,174.0
191,174.0
192,174.0
193,175.0
194,175.0
195,175.0
196,177.0
197,177.0
198,177.0
199,177.0
200,178.0
201,179.0
202,180.0
203,180.0
204,180.0
205,181.0
206,182.0
207,182.0
208,183.0
209,183.0
210,184.0
211,184.0
212,184.0
213,184.0
214,184.0
215,185.0
216,186.0
217,186.0
218,187.0
219,187.0
220,187.0
221,189.0
222,190.0
223,190.0
224,191.0
225,191.0
226,192.0
227,193.0
228,194.0
229,194.0
230,194.0
231,195.0
232,195.0
233,195.0
234,197.0
235,197.0
236,198.0
237,198.0
238,199.0
239,199.0
240,201.0
241,201.0
242,201.0
243,202.0
244,204.0
245,205.0
246,205.0
247,205.0
248,207.0
249,208.0
250,212.0
251,213.0
252,215.0
253,216.0
254,216.0
255,220.0
256,225.0
257,229.0
258,231.0
259,232.0
260,234.0
261,235.0
262,236.0
263,238.0
264,238.0
265,240.0
266,241.0
267,246.0
268,247.0
269,251.0
270,252.0
271,254.0
272,255.0
273,257.0
274,258.0
275,258.0
276,258.0
277,258.0
278,258.0
279,259.0
280,259.0
281,259.0
282,259.0
283,259.0
284,259.0
285,259.0
286,259.0
287,260.0
288,260.0
289,260.0
290,260.0
291,260.0
292,261.0
293,261.0
294,263.0
295,264.0
296,268.0
297,269.0
298,272.0
299,273.0
300,274.0
301,275.0
302,276.0
303,280.0
304,280.0
305,
306,
307,
308,
