,bankfull
0,32.2
1,30.0
2,14.8
3,13.600000000000001
4,14.100000000000001
5,14.200000000000001
6,13.9
7,14.4
8,14.700000000000001
9,14.8
10,14.700000000000001
11,14.8
12,15.3
13,15.4
14,15.4
15,15.5
16,15.600000000000001
17,15.600000000000001
18,15.200000000000001
19,15.200000000000001
20,15.100000000000001
21,15.100000000000001
22,15.0
23,13.5
24,17.8
25,17.7
26,17.6
27,13.9
28,13.9
29,31.900000000000002
30,13.5
31,13.700000000000001
32,13.600000000000001
33,31.5
34,13.4
35,17.7
36,12.600000000000001
37,31.700000000000003
38,17.3
39,17.1
40,16.8
41,14.0
42,16.400000000000002
43,14.4
44,14.5
45,14.600000000000001
46,14.700000000000001
47,15.600000000000001
48,14.9
49,14.9
50,15.0
51,15.0
52,14.9
53,15.0
54,15.8
55,15.8
56,14.9
57,14.9
58,14.9
59,14.9
60,15.0
61,15.0
62,15.0
63,15.4
64,15.4
65,15.4
66,15.4
67,15.100000000000001
68,15.0
69,15.0
70,15.4
71,15.100000000000001
72,15.4
73,15.4
74,15.4
75,15.0
76,30.900000000000002
77,15.600000000000001
78,32.0
79,31.8
80,15.200000000000001
81,31.5
82,13.100000000000001
83,13.700000000000001
84,15.9
85,13.3
86,13.200000000000001
87,15.700000000000001
88,15.700000000000001
89,13.3
90,13.5
91,14.0
92,13.8
93,13.8
94,13.8
95,13.8
96,13.8
97,13.700000000000001
98,13.600000000000001
99,13.700000000000001
100,13.8
101,28.0
102,14.100000000000001
103,14.4
104,15.200000000000001
105,15.100000000000001
106,15.3
107,15.3
108,15.3
109,26.8
110,15.0
111,26.5
112,15.3
113,13.5
114,13.600000000000001
115,13.700000000000001
116,13.8
117,13.9
118,14.0
119,14.100000000000001
120,14.100000000000001
121,14.200000000000001
122,14.200000000000001
123,14.600000000000001
124,15.5
125,15.5
126,13.5
127,15.5
128,15.5
129,15.5
130,15.600000000000001
131,14.3
132,14.3
133,14.4
134,14.4
135,14.5
136,14.5
137,14.5
138,14.5
139,14.600000000000001
140,15.200000000000001
141,28.5
142,14.600000000000001
143,14.600000000000001
144,14.5
145,14.4
146,14.600000000000001
147,14.600000000000001
148,14.5
149,14.700000000000001
150,15.0
151,14.9
152,14.600000000000001
153,14.5
154,14.5
155,14.4
156,14.600000000000001
157,14.100000000000001
158,14.100000000000001
159,14.200000000000001
160,14.100000000000001
161,14.100000000000001
162,14.100000000000001
163,14.100000000000001
164,14.0
165,14.0
166,14.0
167,13.9
168,13.9
169,13.9
170,14.4
171,15.0
172,15.0
173,15.0
174,15.100000000000001
175,14.5
176,15.200000000000001
177,15.200000000000001
178,15.200000000000001
179,15.200000000000001
180,15.3
181,15.3
182,15.3
183,15.200000000000001
184,15.200000000000001
185,15.100000000000001
186,15.100000000000001
187,15.0
188,15.0
189,14.9
190,14.8
191,14.100000000000001
192,14.100000000000001
193,14.100000000000001
194,14.200000000000001
195,14.200000000000001
196,14.200000000000001
197,14.200000000000001
198,14.200000000000001
199,14.200000000000001
200,14.200000000000001
201,14.200000000000001
202,14.100000000000001
203,32.5
204,15.600000000000001
205,32.300000000000004
206,16.3
207,16.2
208,16.2
209,16.2
210,15.700000000000001
211,15.700000000000001
212,11.600000000000001
213,15.9
214,15.9
215,15.5
216,15.600000000000001
217,12.700000000000001
218,13.100000000000001
219,16.2
220,15.8
221,15.8
222,15.600000000000001
223,15.700000000000001
224,15.600000000000001
225,15.600000000000001
226,15.5
227,15.3
228,15.200000000000001
229,14.4
230,14.4
231,13.700000000000001
232,13.3
233,26.200000000000003
234,20.900000000000002
235,21.200000000000003
236,21.3
237,14.3
238,12.5
239,22.200000000000003
240,13.100000000000001
241,13.200000000000001
242,13.200000000000001
243,13.200000000000001
244,13.3
245,13.3
246,19.8
247,13.4
248,13.4
249,21.6
250,13.5
251,13.600000000000001
252,21.6
253,13.700000000000001
254,14.600000000000001
255,14.5
256,14.5
257,14.3
258,14.200000000000001
259,14.5
260,14.200000000000001
261,14.5
262,14.5
263,14.5
264,14.5
265,14.5
266,14.5
267,14.5
268,14.200000000000001
269,14.5
270,14.5
271,14.5
272,14.5
273,14.200000000000001
274,14.200000000000001
275,14.5
276,14.5
277,14.5
278,14.200000000000001
279,16.7
280,16.6
281,12.3
282,12.0
283,12.200000000000001
284,12.3
285,12.5
286,12.4
287,13.4
288,12.9
289,13.0
290,13.200000000000001
291,13.8
292,13.8
293,13.4
294,13.4
295,13.4
296,14.200000000000001
297,14.200000000000001
298,14.200000000000001
299,13.5
300,13.5
301,13.600000000000001
302,13.600000000000001
303,14.3
304,13.700000000000001
305,13.8
306,14.4
307,14.5
308,14.4
309,14.4
310,14.4
311,14.5
312,14.4
313,14.600000000000001
314,14.100000000000001
